id,nama_sekolah,alamat,kontak,nspn
12812,SMAN 1 Dobo,Jln.Cenderawasih,-,60101801
12813,SMAN 2 Jerol,Jerol,-,60101800
12814,SMAN 3 Dobo,Jln. Cendrawasih,-,60101787
12815,SMAN Waesala,Jl. Ulusadar No. 1 Waesala,-,60101560
12816,SMAN 2 Saparua,Tuhaha,-,60100321
12817,SMAN 1 Tehoru,Tehoru Maluku Tengah,-,60100317
12818,SMAN 1 Tehoru,Jl. Pendidikan,-,60100328
12819,SMAN 1 Saparua,Jln.  Waisisil,-,60100315
12820,SMAN 1 Seram Utara,Jl. Bandar Udara Wahai,-,60100316
12821,SMAN 2 P. Haruku,Jl. Wainana. Kailolo,-,60100320
12822,SMAN 2 Pulau-Pulau Babar,Desa Kroing Kec. Babar Timur,-,60101331
12823,SMA Negeri 2 Seram Barat,Jl. Lintas  Seram,-,60101542
12824,SMA K. Saparua,Jln. Waisisil,-,60100340
12825,SMA PGRI Dobo,Jln.Jalabil,-,60101803
12826,SMA Negeri 1 Teluk Elpaputih,Lintas Seram,-,60100344
12827,SMA Lkmd Wakal,Jln. Raya Wakal,-,60100346
12828,SMA Kristen 1 Amahai,Jl. Salaiku  Haruru,-,60100343
12829,SMA Negeri 3 Leihitu,Seith,-,60100313
12830,SMA K Nusa Laut,Ameth,-,60100337
12831,SMA PGRI Benjina,Benjina,-,60101804
12832,SMA PGRI Pelita Jaya,Jl. Lintas Seram- Pelita Jaya,-,60101538
12833,SMA Yos Sudarso Dobo,Dobo,-,60101802
12834,SMA Muhammadiyah Masohi,Masohi,-,60100348
12835,SMA Muhammadiyah Sepa,Jl. Silalouw,-,60100349
12836,SMA Yos Soedarso,Jl.Abdullah Soulisa  Masohi,-,60100314
12837,SMA PGRI Saparua,Waisisil,-,60100332
12838,SMA Matlaul Anwar Masohi,Jl.Cengki. Kel.Namaelo  Masohi,-,60100347
12839,SMA PGRI OMA Haruku,Oma,-,60100351
12840,SMA Muhammadiyah Luhu,Jl. Pendidikan,-,60101537
12841,MA Negeri Geser,Geser,-,60102518
12842,MAN Tual,Tual,-,60102290
12843,SMAN 1 Pp  Babar,Pp  Babar,-,60102373
12844,SMAN 1 Selaru,Selaru,-,60102374
12845,SMK Negeri Ina Hoi Riwa,Yawuru,-,60102375
12846,SMAN 2 P Haruku,Kailolo,-,60102248
12847,SMAN 3 Salahutu,Tulehu,-,60102249
12848,SMAN Kur,Kur,-,60102292
12849,SMA Al-Fiqri Telaga Piru,Dusun Telaga Piru,-,60102707
12850,SMA Huamual Barat Talaga,Jl. Pendidikan No.1 Talaga,-,60102708
12851,SMA Lkmd Tanah Goyang,Tanah Goyang,-,60102712
12852,SMA Negeri 2 Waesala,Telaga Nipa,-,60102713
12853,SMA Negeri 4 Kairatu,Sinar Amalohy,-,60102716
12854,SMA PGRI 3 Kairatu,Tihulale,-,60102717
12855,SMA Lkmd Wael,Dusun Wael,-,60102884
12856,SMA Lkmd Hualoy,Desa Hualoy,-,60102886
12857,SMA Lkmd Kawa,Desa Kawa,-,60102887
12858,SMA Lkmd Tiang Bendera,Dusun Tiang Bendera,-,60102893
12859,SMA Negeri 3 Kairatu,Desa Latu,-,60102894
12860,SMA PGRI 2 Kairatu,Rumahkay,-,60102895
12861,SMA PGRI 4 Kairatu,Kamal,-,60102897
12862,SMA Negeri 1 Wakate,Desa Utta,-,60102957
12863,SMA Negeri 2 Pulau Gorom,Desa Amarwawatu,-,60102958
12864,SMA Lkmd Kiandarat,Desa Kiandarat,-,60102959
12865,SMA Negeri 3 Pulau Gorom,Desa Miran,-,60102960
12866,SMA Gmah 7 Ambon,Jl. Batu Kerbau,-,60102961
12867,SMA Kalam Kudus,Jalan Soya Kecil Ambon,-,60102962
12868,SMA Kartika Viii Ambon,Jalan Dr. Tamaela,-,60102963
12869,SMA Kristen Oikumene Ambon,Benteng Atas,-,60102964
12870,SMA Negeri 11 Ambon,Galunggung Batu Merah,-,60102965
12871,SMA Negeri 13 Ambon,Jl. Jendral Sudirman,-,60102966
12872,SMA PGRI 1 Ambon,Jalan Yan Paais Ambon,-,60102967
12873,SMA Negeri 1 Wunlah,Wunlah Kec. Wuarlabobar,-,60103079
12874,SMA Kristen Nania,Jln. Laksdya Leo Wattimena,-,60103095
12875,SMA Lkmd Laha,Jl. Sultan Khairun Djamil Laha,-,60103096
12876,SMA Negeri 12 Ambon,Jln. Dr. Malaihollo,-,60103097
12877,SMA Negeri SiwaliMA Ambon,Laksdya Leo Wattimena,-,60103098
12878,SMAN 1 Mdona Hiera,Lelang,-,60103950
12879,SMA Negeri 2 Pp. Babar,Rumahlewang Besar,-,60103956
12880,SMA Negeri 2 Pp. Babar,Rumahlewang Besar,-,60103957
12881,SMA Neger Rumahlewang Besar,Rumahlewang Besar,-,60103958
12882,SMA Negeri 2 Rumahlewang Besar,Rumahlewang Besar,-,60103959
12883,MA Uswatun Hasanah Lala,Lala,-,60103972
12884,SMK Agrobisnis Kokwari,Kokwari,-,60103979
12885,MA Al-Mabrur,Waiheru,-,60103981
12886,SMA Persiapan Siwalalat,Desa Abuleta,-,60103983
12887,SMA Negeri Waemulang,Desa Waemulang,-,60103989
12888,SMK Negeri Waelikut,Desa Waelikut,-,60103990
12889,SMK Negeri Simi,Desa Simi,-,60103991
12890,SMK Tunas Timur Leksula,Leksula,-,60103992
12891,MA Raudah Fiditan,Desa Fiditan,-,60103993
12892,SMK Persiapan Negeri Kobi,Jl. Samal Morokai,-,60104028
12893,SMA Persiapan Negeri Tanah Merah,Jl. Trans Seram,-,60104031
12894,SMA Negeri Nusalaut,Jl. Pendidkan Desa Ameth,-,60104032
12895,SMK Persiapan Negeri Kobi,Jl. Samal Morokay,-,60104033
12896,SMA Negeri 6 Leihitu,Jl. Naniaa - Mamua Waitomu,-,60104036
12897,MA Nurul Huda Samal,Jl. Lintas Seram,-,60104039
12898,SMA Negeri 1 Salahutu,Tulehu Maluku Tengah,-,60100164
12899,SMA Urang Waring Romean,Pemda,-,60101439
12900,MAN Neira,Neira,-,60102217
12901,SMA Lkmd Tehua,Tehua,-,60102245
12902,MA Darul Arqam Waenetat,Flamboyan Waenetat,-,60102322
12903,SMA Negeri 1 Masohi,Jl. Banda No. B43,-,60100161
12904,SMA Negeri Waplau,Waplau,-,60100973
12905,MA Nurulhuda Siatele,Pasahari,-,60102237
12906,SMA Alh. Tehoru,Tehoru,-,60102238
12907,MA Mastur,Martur,-,60102289
12908,MA Al-Hilaal Tehoru,Tehoru,-,60100536
12909,MA Nurul Huda Pasahari,Samal Pasahari,-,60100539
12910,SMA Negeri Ilath,Ilath,-,60100979
12911,SMA 9 Ambon,Jl. Wainapu,-,60102025
12912,MA Matlaul Anwar Masohi,Masohi,-,60102235
12913,SMAN 2 Kei Kecil,Jln Perumnas Ohoijang,-,60100820
12914,SMA Limyer Kroing,60101485,-,60101482
12915,SMA Kristen Saumlaki,Jln. Bhayangkara-Saumlaki Kec. Tanimbar Selatan,-,60101485
12916,SMA 5 Ambon,Jl. Wolter Monginsidi,-,60102002
12917,SMAN 1 Pulau-Pulau Babar,Jl. Karang Panjang,-,60101449
12918,SMA Kristen Yayasan Pkpm,Jl. Diponegoro No. 61,-,60102021
12919,SMA Negeri Waelua,Waelua,-,60100976
12920,SMA Negeri Sawa,Jln. Kurnama Indah No. 01,-,60100977
12921,SMA Negeri 2 Namlea,Jln Pendidikan No. 1,-,60101016
12922,SMA Negeri Namrole,Elfule,-,60101019
12923,SMA 2 Ambon,Jl. Jan Paays,-,60102006
12924,SMA 6 Ambon,Jl. Aman Huse Amahusu,-,60102013
12925,MAN Tulehu,Tulehu,-,60102219
12926,SMA Kelas Jauh Aboru,Aboru,-,60102240
12927,SMA Negeri 1 Seram Utara Barat,Pasanea,-,60102244
12928,MA Fastabiqul Khairat Kur,Jl. Abtobur Sermaf Kur,-,60100855
12929,MA Nadil Ory,Ory,-,60102236
12930,MA Waimital,Desa Waimital,-,60101579
12931,SMA Muhammadiyah Atiahu,Jl. Pendidikan - Atiahu,-,60101660
12932,SMA 45 Ambon,Jl. Dr. Tamaela,-,60102003
12933,MA Siri Sori Islam,Siri Sori Islam,-,60100540
12934,SMAN 1 Kairatu,Jl. Angkota 7A,-,60101529
12935,SMA 8 Ambon,Jl. Dr Wem Tehupeiory,-,60102015
12936,SMA  Kristen Larat,Larat Kec. Tanimbar Utara,-,60102371
12937,SMA Negeri 1 Namlea,Namlea,-,60103372
12938,SMA Negeri 11 Waeapo,Grandeng,-,60103375
12939,SMA 2 Salahutu,Jl. Raya Suli,-,60100159
12940,SMA Hila Kaitetu,Jl. Parangsana,-,60100160
12941,MAN 2 Ambon,Jl. Raya Tulehu Km.23 Ambon,-,60100513
12942,MA Nadil Ulum Ory,Jl. Veteran Ory. Desa Ory,-,60100538
12943,SMA Al-Hilaal Tual,Jln Soekarno Hatta Ohoijang,-,60100765
12944,SMAN 1 Kei Kecil,Jl. Soekarno  Hatta  Ohoijang,-,60100818
12945,MA As-Salama,Jln. Pesisir Timur,-,60100854
12946,SMA Negeri 1 Tual,Jln. Karel Sadsuitubun,-,60100819
12947,SMAN 1 Kei Besar,Elat Maluku Tenggara,-,60100817
12948,MAN Tual,Jl. Soekarno Hatta Tual,-,60100834
12949,SMA Negeri Airbuaya,Jln.Tomia Airbuaya,-,60100996
12950,SMA Negeri Leksula,Leksula,-,60100978
12951,SMA Negeri Wamsisi,Wamsisi,-,60100974
12952,SMA Tarbiyah Airbuaya,Airbuaya,-,60101017
12953,SMA Negeri Biloro,Biloro,-,60100980
12954,SMA Lmd Keliobar,Keliobar Kec. Wuarlabobar,-,60101464
12955,SMAN Ilwaki,Desa Ilwaki Kec. Wetar,-,60101460
12956,SMAN 1 Tansel,Jln. Mathilda Batlayare Saumlaki Kec. Tanimbar Selatan,-,60101463
12957,SMAN 1 Tanut,Pemda,-,60101462
12958,SMA Urlatu Latdalam,Latdalam Kec. Tanimbar Selatan,-,60101438
12959,SMAN 1 Letty,Pemda,-,60101436
12960,SMA Saumlaki,Jl. Matilda Batlyare Sifnana,-,60101440
12961,SMA Plus Perintis Ilih Damer,Ilih Kec. Damer,-,60101442
12962,SMA Budi Mulia Saumlaki,Jln. Misi Saumlaki Kec. Tanimbar Selatan,-,60101487
12963,SMAN 2 Kairatu,Jl. Waisarissa,-,60101530
12964,MA Al Ikhlas Kelapa Dua,Kelapa Dua Kec. Kairatu,-,60101561
12965,MA Al Hilal Dobo,Jl. Ali Moertopo Dobo,-,60101874
12966,SMA 1 Ambon,Jl.Raya Pattimura,-,60102008
12967,SMA 3 Ambon,Jl. Pantai Rumah Tiga,-,60102005
12968,SMA Maria Mediatrix,Jl. Dr. Malaiholo,-,60102020
12969,SMA PGRI 2 Ambon,Jl. Dr. Wem Tehupiory,-,60102017
12970,SMA 7 Ambon,Jl. J. Leimena,-,60102014
12971,SMA Xaverius Ambon,Jl.Pattimura,-,60102016
12972,SMA Pertiwi Ambon,Jl. Mr Latuharhari,-,60102018
12973,SMA Negeri 2 Pulau-Pulau Terselatan,Jl. Marou,-,60103191
12974,SMA Negeri 3 Pp Terselatan,Desa Romang,-,60103192
12975,SMA Negeri 3 Kei Kecil,Jl. Trinitas Ohoira,-,60103317
12976,SMA Jarak Jauh Tayando,Tayando Tam,-,60103318
12977,SMA Jarak Jauhdullah,Dullah,-,60103319
12978,SMA Negeri Elaar,Elaar,-,60103320
12979,SMA Negeri Keliobar,Desa Keliobar,-,60103400
12980,SMA Persiapan Passo Ambon,Lembah Agro - Desa Passo,-,60103406
12981,SMA Negeri 2 Rumahlewang Besar,Rumahlewang Besar,-,60103415
12982,SMA Lkmd Wetna Jaya,Rumahlewang Besar,-,60103412
12983,SMA Lkmd Pulau Manipa,Desa Kelang Asaude,-,60103465
12984,MA Alhillah Batu Jungku,Batu Jungku,-,60103430
12985,SMK Negeri Selaru,Lingkat Kecamatan Selaru,-,60103462
12986,SMA Terpadu Al-Ikhlas,Tamedan,-,60103463
12987,SMA Negeri 3 Amahai,Desa Sepa Kec. Amahai,-,60103506
12988,SMA Kristen Tns,Desa Kokroman Kec. Tns,-,60103507
12989,SMAN 1 Amahai,Jl. Lintas Seram,-,60103505
12990,SMK Pertanian Kobisonta,Desa Kobisonta Kec. Seram Utara,-,60103508
12991,SMA PGRI Banda,Desa Lonthoir Kec. Banda,-,60103510
12992,SMA Lkmd Liang,Desa Liang Kec. Salahutu,-,60103511
12993,SMAN 1 Leihitu,Desa Hila Kec. Leihitu,-,60103512
12994,SMA Negeri 4 Leihitu,Desa Assilulu Kec. Leihitu,-,60103513
12995,SMA Negeri 2 Leihitu Barat,Desa Larike Kec. Leihitu,-,60103514
12996,SMA Muh.Diyah Mamala,Desa Mamala Kec. Leihitu,-,60103515
12997,MA Shuffah Hizbullah Hitu,Desa Hitu  Kec. Leihitu,-,60103516
12998,SMAN 2 Tehoru,Desa Haya Kec. Tehoru,-,60103509
12999,SMA Negeri 2 Banda,Desa Lonthoir Kec. Banda,-,60103518
13000,MA Nadil Ulum Ori,Desa Ori Kec. Pulau Haruku,-,60103519
13001,SMA Lkmd Wolu,Desa Wolu,-,60103529
13002,SMA Muhammadiyah Hatuputih,Desa Hatuputih Pulau Manipa,-,60103544
13003,SMA Raudah,Desa Danar,-,60103545
13004,MA Bina Karya Hatawano,Dusun Hatawano  Desa Luhu,-,60103559
13005,SMA Negeri Waipotih,Waepotih,-,60103597
13006,SMK Negeri Kayeli,Kayeli,-,60103598
13007,SMA Negeri 3 Leihitu Barat,Jl. Pendidikan,-,60103610
13008,SMA Negeri 5 Leihitu Barat,Jl. Pendidikan,-,60103611
13009,SMK Negeri Saleman,Jl. Pendidikan,-,60103612
13010,SMK Pamahanunusa,Jl. Banda - Masohi,-,60103613
13011,SMA Kristen Theologia Kristen Tns,Jl. Hi. Agus Salim,-,60103614
13012,SMA Nafiri Ukar Sengan,Desa Urung,-,60103628
13013,SMA Negeri Banda Ely,Jl. Pendidikan No. 04,-,60103632
13014,SMA Negeri 3 Kei Besar,Desa Waur,-,60103646
13015,SMA Negeri 2 Kei Besar,Desa Weduar,-,60103647
13016,SMA Siminari St. Yudas Tadeus Langgur,Jl. Jend. Soedirman Langgur,-,60103650
13017,SMA Negeri Elaar,Desa Elaar,-,60103651
13018,SMA Negeri Banda Ely,Banda Ely,-,60103652
13019,SMK Jaya Negara,Jln Mutiara,-,60103660
13020,SMK Negeri  2  Saparua,Jl. Honimua - Siri Sori Amalatu,-,60103663
13021,SMA Negeri 2 Taniwel,Sukaraja,-,60103670
13022,SMA Kristen Dobo,Jl. Cenderawasih - Dobo,-,60103685
13023,SMA Negeri 4 Kabalsiang Benjuring,Desa Kabalsiang/Benjuring,-,60101805
13024,SMA Negeri Unggulan Saumlaki,Jln. Ir. Soekarno - Saumlaki,-,60103695
13025,SMA Lkmd Manipa Tomalehu Barat,Tomalehu Barat,-,60102889
13026,MA Lkmd Amarsekaru,Desa Amarsekaru,-,60103735
13027,SMA Lkmd Hatu,Jl. Waelolu - Desa Hatu,-,60103737
13028,SMK Negeri Perikanan Dan Kelautan Marsela,Marsela,-,60103850
13029,SMK Negeri Perikanan Dan Kelautan Luang Timur,Jl. Tutu Gain Luang Timur,-,60103851
13030,SMK Negeri Pertanian Dan Kelautan Lebelau,Desa Lebelau Kec. Pulau-Pulau Terselatan,-,60101332
13031,SMK Negeri Peternakan Dan Pertanian Moa Lakor,Weet,-,60103852
13032,SMA Negeri 1 Seram Utara Barat,Jl. Trans Seram - Pasanea,-,60103859
13033,SMA Lkmd Waepandan,Waepandan,-,60103866
13034,SMK Negeri Namrole,Masnana,-,60103867
13035,SMA Lkmd Amarsekaru,Desa Amarsekaru,-,60103879
13036,MA Lkmd Tanah Baru,Tanah Baru,-,60103880
13037,SMK Persiapan Teluk Elpaputih,Jl. Pendidikan,-,60103881
13038,MAN Seram Masohi,Jl. Lintas Seram,-,60103884
13039,SMAN 2 Masohi,Jl. Trans Seram,-,60100325
13040,SMAN 1 Pulau Haruku,Pelauw,-,60100326
13041,SMAN 1 T N S,Jl. Haji Adam Malik,-,60100327
13042,SMA Negeri 4 Kei Besar,Hollat,-,60103895
13043,SMA Negeri 1 Yaru,Desa Romean,-,60103897
13044,MA Al-Islah Gale-Gale,Jl. Pendidikan,-,60103899
13045,MA Al-Islah Gale-Gela,Jl. Pendidikan,-,60103901
13046,SMA Bpd Pulau Buano,Desa Buano Kec. Waesala,-,60103902
13047,SMA Lkmd Tahalupu,Desa Tahalupu-Kec.. Waesala,-,60103903
13048,SMA Negeri 2 Taniwel,Desa Sukaraja  Taniwel,-,60103904
13049,SMK Negeri 1 Tanimbar Utara,Jln. Lora Permai Watidal,-,60103907
13050,SMA Negeri Moa Lakor,Weet,-,60103917
13051,Madrasah Aliyah Nuril Ikhlas Ambon,Air Besar,-,60103918
13052,MAS.As-SalaMA Mastur,Desa Mastur,-,60103920
13053,SMA Jarak Jauh Marlasi,Desa Marlasi,-,60103921
13054,SMA Jarak Jauh Koijabi,Desa Koijabi,-,60103922
13055,SMA Jarak Jauh Longgar Apara,Desa Longgar,-,60103923
13056,SMK Pertanian Pembangunan,Jln. Wolter Monginsidi- Passo,-,60103924
13057,SMK Negeri Namrole,Namrole,-,60103929
13058,SMA Al Hilaal,Jl. Anthony Reebok,-,60103930
13059,SMA Teologi Kristen,Jln. Petra Karpan - Ambon,-,60103931
13060,SMA Persiapan Negeri Elpaputih,Desa Elpaputih,-,60103939
13061,Madrasyah Aliyah Swasta Hidayah Elat,Desa Depur,-,60103940
13062,SMAN 2 276000,Jl.Inpres Ubo-Ubo,-,60200722
13063,SMAN  2  Kayoa,Busua,-,60201668
13064,SMAN  1  Bacan,Jl. Kota Lama,-,60201658
13065,SMAN  1  Bacan Timur,Jl. Sayoang,-,60201659
13066,SMAN  1  Gane Barat,Jl Raya Saketa,-,60201660
13067,SMAN  1  Kayoa,Jl Siswa,-,60201661
13068,SMAN  1  Obi,Jl. Nyiur Melambai,-,60201662
13069,SMAN  1 Obi Selatan,Wayaloar,-,60201663
13070,SMAN  2  Bacan,Jl Karet Putih,-,60201664
13071,SMAN  2  Bacan Timur,Jl.  Lapangan,-,60201665
13072,SMAN  2  Gane Barat,Dolik,-,60201667
13073,SMAN  2  Pulau Makian,Jl Cempaka,-,60201669
13074,SMAN  3  Bacan,Jl. Torosubang,-,60201670
13075,SMA  Alkhaeraat Bacan,Jl. Benteng Barnavel,-,60201671
13076,SMA Negeri 3 Bacan Timur,Jl. Muh. Kasuba Bibinoi,-,60201672
13077,SMA  Laluin,Jl Benteng Kayoa,-,60201673
13078,SMA Negeri 3 Gane Timur,Jl. Dara Bisui,-,60201674
13079,SMA  Lpm Gane Raya,Jl. Raya Gane Dalam,-,60201675
13080,SMA  Lpm Gurua,Gurua,-,60201676
13081,SMA  Lpm Kie Besi,Jl. Kenari 01,-,60201677
13082,SMA  Lpm Lelei,Jl.  Pasturi,-,60201679
13083,SMA  Lpm Sabatang,Sabatang,-,60201680
13084,SMA  Muhammadiyah Obi,Jl Ketapang,-,60201681
13085,SMA  Peduli Bangsa Anggai,Jl. Hi. Subur No. 01,-,60201682
13086,MA Wasile,Desa Akadega,-,60200689
13087,SMAN 1 276000,Jl.Ki Hjar Dewantara Np.192,-,60200723
13088,SMAN 10 276000,Jl. Ki. Hajar Dewantara No.5,-,60200727
13089,SMAN 1 Tobelo,Jl. Kihajar Dewan Tara,-,60200296
13090,MA Darul Muhsinin,Jl. Got Ila,-,60200584
13091,MA Darul Ulum Sasa,Sasa,-,60200827
13092,MA Al Khairaat Ternate,Jl. Kakaktua Kalumpang,-,60200828
13093,MA Muhammadiyah  Pabos,Rt 03 Desa Bobo,-,60200143
13094,MA Al-Khairat Falabisahaya,Jl. Telkom Mangoli Utara,-,60200585
13095,SMA Negeri 4 Tidore Kepulauan,Jln. Raya Payahe,-,60200952
13096,SMK Mardathillah,Desa Kacepi Kec. P. Gebe,-,60202359
13097,SMAN 1 Haltim,Buli,-,60201362
13098,SMAN 2 Haltim,Cemara Jaya,-,60201363
13099,SMAN 3 Haltim,Bicoli,-,60201364
13100,SMAN 4 Haltim,Nusa Jaya,-,60201365
13101,SMAN 2 Binsus Tobelo,Jl. Kompleks Perkantoran Pemda Halut  Tobelo,-,60201918
13102,SMA Kristen Tobelo,Jl. R.S. Bethesda Tobelo,-,60201922
13103,SMA Muhammadyah Tobelo,Jl. Kali Seratus Tobelo,-,60201925
13104,SMA N. 1 Tobelo Selatan,Desa Efi-Efi,-,60201927
13105,SMA Porimoi Gorua,Desa Gorua,-,60201930
13106,SMA Bpd Tolabit,Desa Tolabit,-,60201919
13107,SMA N. 1 Malifut,Desa Ngofakiaha,-,60201926
13108,SMA Muh. Galela,Desa Soasio,-,60201924
13109,SMA Merah Putih,Desa Dokulamo,-,60201923
13110,SMA Kristen Nehemia Duma,Desa Duma,-,60201921
13111,SMA Peduli,Desa Daeo,-,60201929
13112,SMA Neg. 1 Morotai Utara,Desa Bere-Bere,-,60201928
13113,SMA Angger Wayabula,Desa Wayabula,-,60201917
13114,SMA Gr. Dama,Desa Dama,-,60201920
13115,MA Bina Insani Malifut,Desa Ngofakiaha,-,60201916
13116,MA Alihklas  Morut,Desa Morut,-,60201915
13117,SMA Negeri Sulabesi Timur,Jl.Siswa,-,60202102
13118,SMA Negeri 1 Mangoli Timur,Jl. Sangadji Fataha,-,60202101
13119,SMA Lpm Soligi,Jln Siswa Desa Soliga,-,60203677
13120,SMA Lpm Jiko,Jln Siswa Desa Jiko,-,60203679
13121,SMA Lpm Soliga,Jln Siswa Desa Soliga,-,60203680
13122,SMA Negeri 5 Kayoa,Desa Laromabati,-,60203684
13123,SMA Negeri 4 Kayoa,Jl. Taman Siswa,-,60203685
13124,SMK Negeri 1 Ibu Utara,Desa Togowo,-,60203686
13125,SMA Negeri 1 Mandioli Selatan,Mandioli,-,60203688
13126,SMK Pertambangan Gosowong,Jl. Trans Halmahera,-,60203691
13127,SMA Negeri 2 Gane Timur,Jl. Air Cermin No. 2 Gane Luar,-,60203698
13128,SMA PGRI Oba Tengah,Desa Fanaha,-,60203706
13129,SMK Percis Halmahera,Desa Wari,-,60203708
13130,SMA Negeri 3 Obi Timur,Desa Sum,-,60203779
13131,SMA Negeri 4 Gane Barat,Jl  Ake Gaga Desa Samo,-,60203780
13132,SMK Negeri 1 Mandioli,Jl  Siswa,-,60203781
13133,MA Swasta Ulul Albaab 276000,Jalan Kalumata Puncak,-,60203785
13134,MA Alkhairaat Tolonuo,Tolonuo,-,60203796
13135,MA Porimoi Gorua,Gorua,-,60203797
13136,MA Muhammadiyah Soasio,Soasio,-,60203798
13137,MA Al-Karimah Dokulamo,Dokulamo,-,60203799
13138,SMK Negeri 1 Kep. Joronga,Desa Kukupang,-,60203803
13139,MA Swasta Pengembangan Bula,Jl. Pariwisata Bula,-,60203807
13140,SMAN Jailolo,Jl.Drs.B.Th.Malasy-Jailolo,-,60200118
13141,SMAN 1 Morotai Selatan,Daruba,-,60200294
13142,MA Nurul Bahri Pohea,Jl. Tambak No 1 Bajopohea,-,60200583
13143,MA Nurul Huda Dowora,Kelurahan Dowora,-,60201039
13144,SMA Galela,Galela. Maluku Utara,-,60200270
13145,MAN Ternate,Jl. Batu Angus No 31,-,60200840
13146,MA Al Khairaat Tobelo,Jl. Tirta Jobubu Tobelo,-,60200325
13147,MA Upt Teluk Buli,Desa Beringin Lamo,-,60200673
13148,SMA Alkhairat Ternate,Jln. Darul Khairat Siko Ternate,-,60200711
13149,SMAN 6 276000,Kel. Tobololo,-,60200783
13150,SMAN 1 Kao,Jl. Pendidikan,-,60200293
13151,SMAN 3 Halmahera Tengah,Jl.Timah Pulau Gebe,-,60200184
13152,SMAN 4 Halmahera Tengah,Jl. Veteran No.E.160,-,60200185
13153,MA Fastabiqul Khairat,Mira,-,60200326
13154,MA Al Khaerat,Guraping,-,60201042
13155,MA Mareku,Kelurahan Mareku,-,60201040
13156,MA Harisul Khairaat,Kelurahan Ome,-,60201041
13157,SMA Negeri 2 Tidore Kepulauan,Jl. Raya Soasio-Tolao,-,60200950
13158,MA Al Khairat,Sidongoli,-,60200134
13159,SMA PrataMA Sidangoli,Jl Bobane Nyiha,-,60200130
13160,MA Nurul Yaqin Loloda,Jl. Udayana Supu,-,60200142
13161,SMAN 2 Halmahera Tengah,Desa Kipai Patani,-,60200183
13162,SMA S Muhammadiyah Morotai Selatan,Jl. Pendidikan Muhammadiyah,-,60200290
13163,SMA Morotai,Jl. Siswa Daruba,-,60200289
13164,SMA Tobelo,Tobelo. Maluku Utara,-,60200291
13165,SMAN 1 Galela,Galela,-,60200292
13166,SMAN 1 Sahu,Jl. Siswa Susupu,-,60200295
13167,MAN Galela,Jl. Gamar Malamo,-,60200306
13168,SMAN Morotai,Jl Siswa Daruba,-,60200297
13169,MA Nurul Yaqin,Desa Sangowo,-,60200328
13170,SMAN Tobelo,Tobelo,-,60200298
13171,MA Nurul Huda,Desa Gotalamo,-,60200327
13172,SMA Alhilaal Sanana,Sanana,-,60200542
13173,SMAN 1 Sanana,Jl.Asrama Polisi Sanana,-,60200544
13174,SMAN 3 Haltim,Jln Halmahera Indah,-,60200660
13175,SMAN 3 276000,Ternate Utara,-,60200721
13176,SMAN 4 276000,Ternate Utara,-,60200720
13177,SMA Islam Ternate,Jln. Stadion No.199,-,60200709
13178,SMA Muhammadiyah Ternate,Jl. Delima Kel. Toboko,-,60200728
13179,SMAN 7 276000,Jl.Tanjung Pura,-,60200782
13180,SMAN 5 276000,Jl.Batu Angus Dufa-Dufa,-,60200796
13181,SMA Negeri 9 Tidore Kepulauan,Jl. Raya Mafututu,-,60200953
13182,MAN Gurabati,Kelurahan Gurabati,-,60201057
13183,MAN Weda,Weda,-,60201141
13184,MAN P. Gebe,Jl. Sangaji,-,60201142
13185,SMAN 1 Halmahera Tengah,Jl. Skip,-,60201143
13186,SMA 6 Halmahera Tengah,Tepeleo,-,60201145
13187,SMA 7 Halmahera Tengah,Jl. Boki Maruru,-,60201146
13188,MA Al-Ihwan Gotowasi,Gotowasi,-,60201357
13189,MA Upt Teluk Buli,Beringin Lamo,-,60201358
13190,MA Wasile,Toboino,-,60201359
13191,SMA Bpd Lolobata,Lolobata,-,60201360
13192,SMA Muhamadiyah Subaim,Dakaino,-,60201361
13193,SMAN 1 Taliabu Utara,Jl. Roadreas Taliabu,-,60202302
13194,MA Ibnu  Khaldun  Bobaneigo,Desa Bobaneigo,-,60201987
13195,SMA Agape Sahu,Agape,-,60201988
13196,SMA Ampera Ibu,Ibu,-,60201989
13197,SMA Krist. Dian Halmahera,Ibu,-,60201990
13198,SMA Kristen Ebenheiser Ibu,Ibu,-,60201991
13199,SMA Mahanaim Sahu,Mahanaim,-,60201992
13200,SMA Negeri 1 Ibu,Ibu,-,60201993
13201,SMA Negeri 1 Ibu Selatan,Desa  Baru,-,60201994
13202,SMA Negeri 1 Sahu,Sahu,-,60201995
13203,MA Waikyon,Desa Sangapati,-,60202001
13204,MA Nurul Jihad,Desa Akrtalaga,-,60202070
13205,SMA Negeri 7 Tidore Kepulauan,Desa Lifofa,-,60202071
13206,SMA Muhammadiyah 1 Tidore Kepulauan,Kel. Akelamo,-,60202072
13207,SMA Negeri 5 Tidore Kepulauan,Desa Sofifi,-,60202073
13208,SMA Negeri 6 Tidore Kepulauan,Jln. Selawaring - Rum Kec Tidore Utara,-,60202074
13209,SMA Negeri 8 Tidore Kepulauan,Jl. Raya Akekolano,-,60202075
13210,SMA Negeri 10 Tidore Kepulauan,Mareku,-,60202076
13211,Madrasah Aliyah Al-Amanah Enggele,Jl. Raya Enggele,-,60202235
13212,Madrasah Aliyah Swasta Waisakai,Jl. Lifmatola,-,60202236
